bot_score,manual_result
0.079454653,0
0.062633878,0
0.085924,1
0.041789835,0
0.073433262,0
0.057807183,0
0.085924,0
0.053331281,0
0.073433262,0
0.049183848,0
0.145897657,0
0.100309357,0
0.168473166,0
0.168473166,0
0.100309357,0
0.180767269,0
0.100309357,0
0.145897657,0
0.193749479,0
0.193749479,1
0.236883777,0
0.221806472,0
0.221806472,0
0.286212062,1
0.286212062,0
0.236883777,0
0.286212062,0
0.286212062,0
0.269102246,0
0.221806472,0
0.380551857,0
0.303957332,0
0.303957332,0
0.360651907,0
0.360651907,0
0.322306022,0
0.341219355,0
0.322306022,1
0.360651907,0
0.360651907,1
0.421517259,0
0.421517259,0
0.421517259,1
0.463592191,0
0.421517259,1
0.442451481,1
0.484864583,0
0.484864583,1
0.463592191,1
0.463592191,1
0.548702008,1
0.506191959,1
0.590512927,1
0.548702008,1
0.569731783,1
0.569731783,0
0.590512927,0
0.548702008,0
0.548702008,1
0.569731783,0
0.631054837,1
0.650690103,1
0.688417762,1
0.650690103,0
0.688417762,1
0.650690103,1
0.610975721,1
0.610975721,0
0.688417762,1
0.610975721,1
0.706420424,0
0.786626298,1
0.723800247,1
0.771954233,0
0.706420424,1
0.740529101,1
0.723800247,1
0.723800247,1
0.706420424,1
0.723800247,1
0.813871734,1
0.826453204,0
0.860167737,0
0.800598225,1
0.8701192,1
0.826453204,1
0.87946169,0
0.838353133,1
0.8701192,0
0.838353133,1
0.935231612,1
0.911222953,1
0.917887814,0
0.917887814,0
0.904073657,1
0.963289157,1
0.960149429,1
0.917887814,1
0.911222953,1
0.911222953,0
